ziplenderId,zip,district,state,lenderid,activestatus,createdon,updatedon,createdby,updatedby
1,110003,Central Delhi,Delhi,11,1,04-10-2023,04-10-2023,Vastu,Vastu
2,110004,Central Delhi,Delhi,11,1,04-10-2023,04-10-2023,Vastu,Vastu
3,110006,North Delhi,Delhi,11,1,04-10-2023,04-10-2023,Vastu,Vastu
4,110007,North Delhi,Delhi,11,1,04-10-2023,04-10-2023,Vastu,Vastu
5,110008,Central Delhi,Delhi,11,1,04-10-2023,04-10-2023,Vastu,Vastu
6,110009,North West Delhi,Delhi,11,1,04-10-2023,04-10-2023,Vastu,Vastu
7,110011,Central Delhi,Delhi,11,1,04-10-2023,04-10-2023,Vastu,Vastu
8,110012,Central Delhi,Delhi,11,1,04-10-2023,04-10-2023,Vastu,Vastu
9,110013,South Delhi,Delhi,11,1,04-10-2023,04-10-2023,Vastu,Vastu
10,110014,South Delhi,Delhi,11,1,04-10-2023,04-10-2023,Vastu,Vastu
11,110015,West Delhi,Delhi,11,1,04-10-2023,04-10-2023,Vastu,Vastu
12,110016,South West Delhi,Delhi,11,1,04-10-2023,04-10-2023,Vastu,Vastu
13,110017,South Delhi,Delhi,11,1,04-10-2023,04-10-2023,Vastu,Vastu
14,110019,South Delhi,Delhi,11,1,04-10-2023,04-10-2023,Vastu,Vastu
15,110021,South West Delhi,Delhi,11,1,04-10-2023,04-10-2023,Vastu,Vastu
16,110022,South West Delhi,Delhi,11,1,04-10-2023,04-10-2023,Vastu,Vastu
17,110024,South Delhi,Delhi,11,1,04-10-2023,04-10-2023,Vastu,Vastu
18,110025,South Delhi,Delhi,11,1,04-10-2023,04-10-2023,Vastu,Vastu
19,110026,West Delhi,Delhi,11,1,04-10-2023,04-10-2023,Vastu,Vastu
20,110027,West Delhi,Delhi,11,1,04-10-2023,04-10-2023,Vastu,Vastu
21,110028,South West Delhi,Delhi,11,1,04-10-2023,04-10-2023,Vastu,Vastu
22,110029,New Delhi,Delhi,11,1,04-10-2023,04-10-2023,Vastu,Vastu
23,110030,South West Delhi,Delhi,11,1,04-10-2023,04-10-2023,Vastu,Vastu
24,110031,East Delhi,Delhi,11,1,04-10-2023,04-10-2023,Vastu,Vastu
25,110032,North East Delhi,Delhi,11,1,04-10-2023,04-10-2023,Vastu,Vastu
26,110033,North West Delhi,Delhi,11,1,04-10-2023,04-10-2023,Vastu,Vastu
27,110034,North West Delhi,Delhi,11,1,04-10-2023,04-10-2023,Vastu,Vastu
28,110035,North West Delhi,Delhi,11,1,04-10-2023,04-10-2023,Vastu,Vastu
29,110036,North West Delhi,Delhi,11,1,04-10-2023,04-10-2023,Vastu,Vastu
30,110037,South West Delhi,Delhi,11,1,04-10-2023,04-10-2023,Vastu,Vastu
31,110038,South West Delhi,Delhi,11,1,04-10-2023,04-10-2023,Vastu,Vastu
32,110039,North West Delhi,Delhi,11,1,04-10-2023,04-10-2023,Vastu,Vastu
33,110040,North West Delhi,Delhi,11,1,04-10-2023,04-10-2023,Vastu,Vastu
34,110041,West Delhi,Delhi,11,1,04-10-2023,04-10-2023,Vastu,Vastu
35,110042,North West Delhi,Delhi,11,1,04-10-2023,04-10-2023,Vastu,Vastu
36,110046,South West Delhi,Delhi,11,1,04-10-2023,04-10-2023,Vastu,Vastu
37,110047,South West Delhi,Delhi,11,1,04-10-2023,04-10-2023,Vastu,Vastu
38,110048,South Delhi,Delhi,11,1,04-10-2023,04-10-2023,Vastu,Vastu
39,110049,South Delhi,Delhi,11,1,04-10-2023,04-10-2023,Vastu,Vastu
40,110051,East Delhi,Delhi,11,1,04-10-2023,04-10-2023,Vastu,Vastu
41,110052,North West Delhi,Delhi,11,1,04-10-2023,04-10-2023,Vastu,Vastu
42,110053,North East Delhi,Delhi,11,1,04-10-2023,04-10-2023,Vastu,Vastu
43,110054,North Delhi,Delhi,11,1,04-10-2023,04-10-2023,Vastu,Vastu
44,110055,Central Delhi,Delhi,11,1,04-10-2023,04-10-2023,Vastu,Vastu
45,110056,North West Delhi,Delhi,11,1,04-10-2023,04-10-2023,Vastu,Vastu
46,110057,South West Delhi,Delhi,11,1,04-10-2023,04-10-2023,Vastu,Vastu
47,110058,West Delhi,Delhi,11,1,04-10-2023,04-10-2023,Vastu,Vastu
48,110059,West Delhi,Delhi,11,1,04-10-2023,04-10-2023,Vastu,Vastu
49,110060,Central Delhi,Delhi,11,1,04-10-2023,04-10-2023,Vastu,Vastu
50,110061,South West Delhi,Delhi,11,1,04-10-2023,04-10-2023,Vastu,Vastu
51,110063,West Delhi,Delhi,11,1,04-10-2023,04-10-2023,Vastu,Vastu
52,110065,South Delhi,Delhi,11,1,04-10-2023,04-10-2023,Vastu,Vastu
53,110066,South West Delhi,Delhi,11,1,04-10-2023,04-10-2023,Vastu,Vastu
